estacion|nombre|categoria|tecnologia|estado|departamento|municipio|fecha_instalacion|fecha_suspension|area_operativa|corriente|area_hidrografica|zona_hidrografica|subzona_hidrografica|entidad|longitud|latitud
24015090|INSTITUCION AGRICOLA SANTA SOFIA|Climatica Ordinaria|Convencional|Activa|Boyaca|Santa Sof�a|15/04/1986||Area Operativa 06 - Boyaca-Casanare-Vichada|Chulo|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.60227778|5.71066667
26180180|SONSON|Pluviografica|Convencional|Activa|Antioquia|Sons�n|15/06/1970||Area Operativa 01 - Antioquia-Choco|Chulo|Magdalena Cauca|Cauca|R�o Arma|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.2945|5.71525
24037300|PUENTE COLONIAL|Limnimetrica|Convencional|Activa|Boyaca|Mongu�|15/02/1971||Area Operativa 06 - Boyaca-Casanare-Vichada|Mongui|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.84966667|5.71688056
26175030|NACIONAL GRANJA LA|Climatica Principal|Convencional|Activa|Antioquia|T�mesis|15/07/1977||Area Operativa 01 - Antioquia-Choco|Mongui|Magdalena Cauca|Cauca|R�o Fr�o y Otros Directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.69091667|5.71733333
24037450|MOLINO EL|Limnimetrica|Convencional|Activa|Boyaca|Paipa|15/06/1964||Area Operativa 06 - Boyaca-Casanare-Vichada|Salitre|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.12080556|5.72263889
24030190|MONGUI|Pluviometrica|Convencional|Activa|Boyaca|Mongu�|15/02/1958||Area Operativa 06 - Boyaca-Casanare-Vichada|Salitre|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.84786111|5.72455556
21201630|TABIO GRANJA|Pluviografica|Convencional|Activa|Cundinamarca|Tabio|15/05/1987||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Risaralda|Magdalena Cauca|Alto Magdalena|R�o Bogota|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.06561111|4.93305556
21095010|JUNCAL EL|Climatica Ordinaria|Convencional|Activa|Huila|Palermo|15/11/1965||Area Operativa 04 - Huila-Caqueta|Motilon|Magdalena Cauca|Alto Magdalena|Juncal y otros Rios directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.33116667|2.82880556
26177090|BALSOS LOS|Limnimetrica|Convencional|Suspendida|Antioquia|Valparaiso|15/07/1978|15/05/2002|Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Cauca|R�o Fr�o y Otros Directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.6|5.71666667
24017770|ALTO DEL CARNERO|Limnimetrica|Convencional|Suspendida|Boyaca|Santa Sof�a|15/04/1986|15/07/1995|Area Operativa 06 - Boyaca-Casanare-Vichada|Quebrada Camelo|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.65|5.71666667
24010690|TRES ESQUINAS|Pluviografica|Convencional|Suspendida|Boyaca|Santa Sof�a|15/04/1986|15/02/2002|Area Operativa 06 - Boyaca-Casanare-Vichada|Quebrada Camelo|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.63333333|5.71666667
21055040|TOEZ|Climatica Ordinaria|Convencional|Suspendida|Cauca|Peez (Belalcazar)|15/05/1971|15/06/1994|Area Operativa 04 - Huila-Caqueta|Motilon|Magdalena Cauca|Alto Magdalena|R�o Peez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.08333333|2.81666667
21097090|JUNCALITO|Limnimetrica|Convencional|Suspendida|Huila|Palermo|15/10/1985|15/12/1998|Area Operativa 04 - Huila-Caqueta|Quebrada La Sardinata|Magdalena Cauca|Alto Magdalena|Juncal y otros Rios directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.31666667|2.83333333
21090090|BUENAVISTA|Pluviometrica|Convencional|Suspendida|Huila|Palermo|14/02/1968|21/01/2019|Area Operativa 04 - Huila-Caqueta|0|Magdalena Cauca|Alto Magdalena|Juncal y otros Rios directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.35|2.83333333
22070030|SANTA HELENA|Pluviometrica|Convencional|Activa|Tolima|Roncesvalles|15/03/1975||Area Operativa 10 - Tolima|Orinoco|Magdalena Cauca|Salda�a|R�o Cucuana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.49952778|4.12455556
35030030|SENA|Pluviografica|Convencional|Activa|Meta|Villavicencio|15/08/1984||Area Operativa 03 - Meta-Guaviare-Guainia|Orinoco|Orinoco|Meta|R�o Guatiqu�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.63955556|4.12736111
35020340|PRIMAVERA LA|Pluviometrica|Convencional|Activa|Cundinamarca|Guti�rrez|15/01/1985||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Cauca|Orinoco|Meta|R�o Guayuriba|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.05|4.13333333
35027150|ANIMAS LAS|Limnigrafica|Convencional|Activa|Bogota|Bogota, D.C|15/01/1985||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Chochal|Orinoco|Meta|R�o Guayuriba|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.17380556|4.13797222
32080040|PORORIO EL|Pluviometrica|Convencional|Suspendida|Meta|Puerto Concordia|15/12/1983|30/11/2000|Area Operativa 03 - Meta-Guaviare-Guainia|Ariari|Orinoco|Guaviare|R�o Ariari|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.80933333|2.83333333
32117010|TRAPICHE EL|Limnimetrica|Convencional|Suspendida|Vichada|Cumaribo|15/03/1983|31/12/2003|Area Operativa 03 - Meta-Guaviare-Guainia|Guaviare|Orinoco|Guaviare|Medio Guaviare|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-70.66666667|2.83333333
21080090|ARMENIA LA|Pluviografica|Convencional|Suspendida|Huila|Teruel|15/04/1976|15/05/1994|Area Operativa 04 - Huila-Caqueta|Guaviare|Magdalena Cauca|Alto Magdalena|R�o Bach�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.55|2.85
21090150|JUNCALITO|Pluviometrica|Convencional|Suspendida|Huila|Palermo|15/09/1984|15/02/2002|Area Operativa 04 - Huila-Caqueta|Guaviare|Magdalena Cauca|Alto Magdalena|Juncal y otros Rios directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.31666667|2.85
21110420|ANTENA CERRO NEIVA|Pluviografica|Convencional|Suspendida|Huila|Neiva|15/06/1983|15/03/1995|Area Operativa 04 - Huila-Caqueta|Guaviare|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.2|2.85
35020070|SALADOS LOS|Pluviometrica|Convencional|Suspendida|Meta|Puerto L�pez|15/10/1967|15/06/1995|Area Operativa 03 - Meta-Guaviare-Guainia|Guaviare|Orinoco|Meta|R�o Negro|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.15|4.11666667
38037020|BUENOS AIRES|Limnimetrica|Convencional|Suspendida|Vichada|Cumaribo|15/12/1983|15/06/1997|Area Operativa 03 - Meta-Guaviare-Guainia|Orinoco|Orinoco|Orinoco Directos|Ca�o Matav�n|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-67.75|4.11666667
22077050|PIJAITO  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Tolima|Rovira|14/09/1992||Area Operativa 10 - Tolima|Chili|Magdalena Cauca|Salda�a|R�o Cucuana|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.306|4.15038889
35030100|ALCALDIA|Pluviografica|Convencional|Activa|Meta|Villavicencio|15/08/1993||Area Operativa 03 - Meta-Guaviare-Guainia|Clarin|Orinoco|Meta|R�o Guatiqu�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.63333333|4.15
26195030|JARDIN EL|Climatica Ordinaria|Convencional|Activa|Antioquia|Jard�n|15/06/1990||Area Operativa 01 - Antioquia-Choco|Cusiana|Magdalena Cauca|Cauca|R�o San Juan|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.80055556|5.58772222
24017620|INFIERNO EL|Limnimetrica|Convencional|Activa|Boyaca|S�chica|15/02/1971||Area Operativa 06 - Boyaca-Casanare-Vichada|Gachaneca|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.51255556|5.5885
24037120|LA VEGA|Limnimetrica|Convencional|Activa|Boyaca|Cu�tiva|15/01/1964||Area Operativa 06 - Boyaca-Casanare-Vichada|Iza|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.98305556|5.58869444
26180190|AGUADAS|Pluviometrica|Convencional|Activa|Caldas|Aguadas|15/08/1970||Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Cauca|Rio Tapias y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.45119444|5.60002778
24010410|EMPORIO EL HACIENDA|Pluviometrica|Convencional|Activa|Boyaca|Villa De Leiva|15/08/1964||Area Operativa 06 - Boyaca-Casanare-Vichada|Cauca|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.54527778|5.60208333
21180220|AEROPUERTO FARCA|Pluviometrica|Convencional|Suspendida|Tolima|Espinal|15/11/1979|15/04/2000|Area Operativa 10 - Tolima|Tuamo|Magdalena Cauca|Alto Magdalena|R�o Luisa y otros directos al Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.9|4.15
35027130|PUENTE QUEVEDO|Limnigrafica|Convencional|Suspendida|Cundinamarca|Guti�rrez|15/01/1985|15/04/2002|Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Clarin|Orinoco|Meta|R�o Guayuriba|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.05|4.15
24035300|SAN CRISTOBAL|Meteorologica Especial|Convencional|Suspendida|Boyaca|Toca|15/07/1971|28/08/2014|Area Operativa 06 - Boyaca-Casanare-Vichada|Iza|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.18772222|5.59691667
56010020|AMARGAL|Pluviometrica|Convencional|Suspendida|Choco|Nuqu�|15/03/1993|15/10/1997|Area Operativa 01 - Antioquia-Choco|Iza|Pacifico|Pac�fico - Directos|Directos Pacifico Frontera Panam�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.4967|5.59718056
26177060|MARIA LA|Limnimetrica|Convencional|Suspendida|Antioquia|Caramanta|15/10/1975|15/09/2005|Area Operativa 01 - Antioquia-Choco|Cauca|Magdalena Cauca|Cauca|R�o Fr�o y Otros Directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.6|5.6
24030780|HOTEL EL|Pluviometrica|Convencional|Suspendida|Boyaca|Toca|15/03/1974|15/09/1998|Area Operativa 06 - Boyaca-Casanare-Vichada|Cauca|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.21666667|5.6
24030450|ENCANTO EL|Pluviometrica|Convencional|Activa|Boyaca|Oicat�|15/05/1992||Area Operativa 06 - Boyaca-Casanare-Vichada|Cauca|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.32336111|5.60633333
35210060|DESECHO EL HACIENDA|Pluviografica|Convencional|Activa|Casanare|Nunch�a|15/11/1995||Area Operativa 06 - Boyaca-Casanare-Vichada|Cauca|Orinoco|Meta|Ca�o Guan�palo y otros directos al Meta|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.06780556|5.60911111
21130060|CARMEN EL|Pluviometrica|Convencional|Activa|Huila|Palermo|15/01/1966||Area Operativa 04 - Huila-Caqueta|Cauca|Magdalena Cauca|Alto Magdalena|R�o Bach�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.55919444|3.00713889
26020100|BUENOS AIRES|Pluviometrica|Convencional|Activa|Cauca|Buenos Aires|15/10/1966||Area Operativa 09 - Cauca-Valle-Caldas|Bache|Magdalena Cauca|Cauca|R�o Quinamayo y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.63908333|3.02019444
26020120|CALOTO|Pluviometrica|Convencional|Activa|Cauca|Caloto|15/10/1966||Area Operativa 09 - Cauca-Valle-Caldas|Bache|Magdalena Cauca|Cauca|R�o Quinamayo y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.40666667|3.03008333
21110180|HATO BOGOTA|Pluviometrica|Convencional|Activa|Huila|Tello|15/09/1969||Area Operativa 04 - Huila-Caqueta|Fortalecillas|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.15972222|3.03602778
26027250|BUENOS AIRES|Limnigrafica|Convencional|Activa|Cauca|Buenos Aires|15/04/1970||Area Operativa 09 - Cauca-Valle-Caldas|La Teta|Magdalena Cauca|Alto Magdalena|Alto Magdalena|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.57922222|3.03675
26027210|PUENTE FERROCARRIL|Limnigrafica|Convencional|Activa|Cauca|Santander De Quilichao|15/08/1965||Area Operativa 09 - Cauca-Valle-Caldas|Quinamayo|Magdalena Cauca|Cauca|R�o Quinamayo y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.51180556|3.03802778
22020020|PENA RICA|Pluviometrica|Convencional|Activa|Tolima|Planadas|15/12/1973||Area Operativa 10 - Tolima|Quinamayo|Magdalena Cauca|Salda�a|R�o At�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.76177778|3.04505556
21127050|JUNTAS TOPON|Limnigrafica|Convencional|Suspendida|Huila|Palermo|15/12/1986|15/08/1991|Area Operativa 04 - Huila-Caqueta|Bache|Magdalena Cauca|Alto Magdalena|R�o Bach�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.4|3.01666667
26025030|JAPIO|Climatica Ordinaria|Convencional|Suspendida|Cauca|Santander De Quilichao|15/06/1965|15/08/2003|Area Operativa 09 - Cauca-Valle-Caldas|Quinamayo|Magdalena Cauca|Cauca|R�o Quinamayo y otros directos al Cauca|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.44141667|3.04836111
22020060|RIOCLARO|Pluviometrica|Convencional|Activa|Tolima|Planadas|15/12/1986||Area Operativa 10 - Tolima|Quinamayo|Magdalena Cauca|Salda�a|R�o At�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.64191667|3.05333333
35230020|PORE|Pluviometrica|Convencional|Activa|Casanare|Pore|15/09/1990||Area Operativa 06 - Boyaca-Casanare-Vichada|Salitre|Orinoco|Meta|R�o Pauto|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-71.99288889|5.72613889
35237020|PUENTE CARRETERA|Limnimetrica|Convencional|Activa|Casanare|Pore|15/11/1995||Area Operativa 06 - Boyaca-Casanare-Vichada|Pore|Orinoco|Meta|R�o Pauto|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.00122222|5.72897222
23050100|SAN MIGUEL|Pluviometrica|Convencional|Activa|Antioquia|Sons�n|15/01/1980||Area Operativa 10 - Tolima|Pore|Magdalena Cauca|Medio Magdalena|R�o La Miel (Saman�)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.72608333|5.73075
24037070|MAGUNCIA|Limnimetrica|Convencional|Activa|Boyaca|Sotaquir�|15/01/1964||Area Operativa 06 - Boyaca-Casanare-Vichada|Sotaquira|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.19955556|5.74188889
11040010|TUTUNENDO|Pluviometrica|Convencional|Activa|Choco|Quibd�|15/01/1966||Area Operativa 01 - Antioquia-Choco|Sotaquira|Caribe|Atrato - Dari�n|R�o Bebaram� y otros Directos Atrato (md)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.53780556|5.74361111
24030410|TIBASOSA|Pluviometrica|Convencional|Activa|Boyaca|Tibasosa|15/01/1964||Area Operativa 06 - Boyaca-Casanare-Vichada|Sotaquira|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.00491667|5.74383333
35230030|TABLON DE TAMARA|Pluviografica|Convencional|Activa|Casanare|T�mara|15/10/1960||Area Operativa 06 - Boyaca-Casanare-Vichada|Sotaquira|Orinoco|Meta|R�o Pauto|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-72.103|5.74719444
24037130|LA REFORMA|Limnigrafica|Convencional|Activa|Boyaca|Sotaquir�|15/06/1966||Area Operativa 06 - Boyaca-Casanare-Vichada|Chicamocha|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.18988889|5.74883333
24030380|SOTAQUIRA|Pluviometrica|Convencional|Activa|Boyaca|Sotaquir�|15/09/1960||Area Operativa 06 - Boyaca-Casanare-Vichada|Chicamocha|Magdalena Cauca|Sogamoso|R�o Chicamocha|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.23492306|5.74966111
24017760|AMARILLO EL|Limnimetrica|Convencional|Suspendida|Boyaca|Santa Sof�a|15/04/1986|15/07/1995|Area Operativa 06 - Boyaca-Casanare-Vichada|Quebrada Guatoque|Magdalena Cauca|Sogamoso|R�o Su�rez|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.63333333|5.73333333
35260060|PUERTO INFANTE|Pluviometrica|Convencional|Suspendida|Vichada|La Primavera|15/06/1983|15/01/1990|Area Operativa 03 - Meta-Guaviare-Guainia|Quebrada Guatoque|Orinoco|Meta|Directos al R�o Meta entre r�os Pauto y Carare|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-70.03333333|5.73333333
22020040|CASA DE ZINC|Pluviometrica|Convencional|Activa|Tolima|Ataco|15/12/1973||Area Operativa 10 - Tolima|Chicamocha|Magdalena Cauca|Salda�a|Medio Salda�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.5875|3.28580556
22010010|HERRERA|Pluviometrica|Convencional|Activa|Tolima|Rioblanco|15/03/1973||Area Operativa 10 - Tolima|Chicamocha|Magdalena Cauca|Salda�a|Alto Salda�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.81541667|3.28783333
21140010|VENADO EL|Pluviometrica|Convencional|Activa|Huila|Colombia|15/11/1958||Area Operativa 04 - Huila-Caqueta|Chicamocha|Magdalena Cauca|Alto Magdalena|R�o Cabrera|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.90397222|3.29158333
21110120|YEGUERA LA|Pluviometrica|Convencional|Activa|Huila|Villavieja|15/11/1965||Area Operativa 04 - Huila-Caqueta|Chicamocha|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.20077778|3.30533333
21145070|LEGIOSA LA|Climatica Ordinaria|Convencional|Activa|Huila|Colombia|15/10/1971||Area Operativa 04 - Huila-Caqueta|Chicamocha|Magdalena Cauca|Alto Magdalena|R�o Cabrera|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.70288889|3.31102778
32070090|PE�AS BLANCAS|Pluviometrica|Convencional|Activa|Meta|San Juan De Arama|14/12/1983||Area Operativa 03 - Meta-Guaviare-Guainia|0|Orinoco|Guaviare|R�o Guejar|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.91666667|3.31666667
26060020|CABUYAL|Pluviometrica|Convencional|Activa|Valle del Cauca|Candelaria (Valle del cauca)|15/05/1953||Area Operativa 09 - Cauca-Valle-Caldas|Chicamocha|Magdalena Cauca|Cauca|R�o Desbaratado|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.34661111|3.32022222
26070760|FLORIDA|Pluviometrica|Convencional|Activa|Valle del Cauca|Florida|15/05/1953||Area Operativa 09 - Cauca-Valle-Caldas|Cabrera|Magdalena Cauca|Cauca|R�o Guachal (Bolo - Fraile y P�rraga)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.23913889|3.32777778
22020070|CONDOR EL|Pluviometrica|Convencional|Activa|Tolima|Ataco|15/11/1979||Area Operativa 10 - Tolima|Cabrera|Magdalena Cauca|Salda�a|R�o At�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.61305556|3.32816667
22027010|CONDOR EL|Limnigrafica|Automatica sin Telemetria|Activa|Tolima|Ataco|15/01/1971||Area Operativa 10 - Tolima|Ata|Magdalena Cauca|Salda�a|R�o At�|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.61311111|3.32827778
21115060|SAN JOSE|Climatica Ordinaria|Convencional|Activa|Huila|Villavieja|15/10/1963||Area Operativa 04 - Huila-Caqueta|Ata|Magdalena Cauca|Alto Magdalena|Rio Fortalecillas y otros|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-75.18405556|3.32922222
26065040|CABUYAL|Climatica Ordinaria|Convencional|Suspendida|Valle del Cauca|Candelaria (Valle del cauca)|15/10/1991|15/01/1997|Area Operativa 09 - Cauca-Valle-Caldas|Chicamocha|Magdalena Cauca|Cauca|R�o Desbaratado|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.34661111|3.32022222
26070770|PALMERA LA|Pluviometrica|Convencional|Suspendida|Valle del Cauca|Florida|15/10/1976|15/08/1994|Area Operativa 09 - Cauca-Valle-Caldas|Ata|Magdalena Cauca|Cauca|R�o Guachal (Bolo - Fraile y P�rraga)|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-76.16666667|3.33333333
32070030|LOS MICOS|Pluviometrica|Convencional|Activa|Meta|San Juan De Arama|14/09/1979||Area Operativa 03 - Meta-Guaviare-Guainia|0|Orinoco|Guaviare|R�o Guejar|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.89216667|3.31638889
23067040|PUERTO LIBRE  - AUT|Limnigrafica|Automatica con Telemetria|Activa|Cundinamarca|Puerto Salgar|14/09/1974||Area Operativa 10 - Tolima|Negro|Magdalena Cauca|Medio Magdalena|R�o Negro|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.63175|5.75922222
21190350|TULCAN EL|Pluviometrica|Convencional|Activa|Cundinamarca|San Bernardo (Cundinamarca)|15/08/1980||Area Operativa 11 - Cundinamarca-Amazonas-San Andr�s|Chili|Magdalena Cauca|Alto Magdalena|R�o Sumapaz|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.35975|4.15247222
54077130|MALAGUITA|Limnigrafica|Convencional|Activa|Valle del Cauca|Buenaventura|15/09/1966||Area Operativa 09 - Cauca-Valle-Caldas|San Juan|Pacifico|San Ju�n|R�os Calima y  Bajo San Juan|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.21638889|4.15444444
21190290|CARMEN DE APICALA|Pluviometrica|Convencional|Activa|Tolima|Carmen De Apical�|15/02/1972||Area Operativa 10 - Tolima|San Juan|Magdalena Cauca|Alto Magdalena|R�o Sumapaz|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.71311111|4.16102778
54090010|PALESTINA|Pluviometrica|Convencional|Activa|Choco|El Litoral Del San Ju�n (Docord�)|15/03/1966||Area Operativa 09 - Cauca-Valle-Caldas|San Juan|Pacifico|San Ju�n|R�os Calima y  Bajo San Juan|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-77.13555556|4.16261111
35030040|ACUEDUCTO LA ESMERALDA|Pluviografica|Convencional|Activa|Meta|Villavicencio|15/02/1986||Area Operativa 03 - Meta-Guaviare-Guainia|San Juan|Orinoco|Meta|R�o Guatiqu�a|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-73.64772222|4.16363889
21190410|GRANJA LA HACIENDA|Pluviometrica|Convencional|Activa|Tolima|Melgar|15/12/1982||Area Operativa 10 - Tolima|San Juan|Magdalena Cauca|Alto Magdalena|R�o Sumapaz|INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES|-74.58733333|4.16461111
